name,location_district,location_place,location_detail,room_type,room_area,total_price,average_price
旭辉城,房山,房山其它,西南六环良乡出口往南约2公里,2室,75.0,260.0,32000
首创远洋禧瑞天著,亦庄开发区,通州其它,科创十一街与经海九路交汇处西南角（亦庄线次渠南站200米）,2室,89.0,430.0,52695
首开保利熙悦林语,大兴,瀛海,旧宫镇五环路与德贤路交叉口东150米,3室,220.0,1100.0,52315
檀香府,门头沟,门头沟其它,京潭大街与潭柘十街交叉口,3室,124.0,500.0,43000
金融街金悦府,大兴,黄村火车站,4号线义和庄地铁站往北400米,2室,83.0,400.0,50000
中海丽春湖墅·合院,昌平,沙河,地铁昌平线沙河地铁站南600米,4室,304.0,1000.0,54553
祥云赋,顺义,后沙峪,京承高速6出口（中央别墅区）罗马环岛北800米,3室,90.0,500.0,55583
中海金樾和著,房山,房山其它,良常路官道路口西800米,3室,89.0,300.0,33000
北京经开汀塘,亦庄开发区,通州其它,科创十一街与经海九路交汇处（地铁亦庄线次渠南站400米）,2室,82.0,430.0,53980
和悦华锦,大兴,大兴其它,博兴八路与兴海一街交叉口西南侧100米,3室,89.0,460.0,52695
尊悦光华,朝阳,CBD,光华东里甲1号院3号楼,3室,133.0,1700.0,130000
新潮嘉园二期,通州,潞苑,潞苑南大街185号,1室,65.0,384.0,58000
中海云筑,大兴,大兴新机场,京开高速庞各庄桥西1500米（庞各庄镇宏轩饺子馆儿对面）,3室,89.0,340.0,37000
中海云筑,大兴,大兴新机场,京开高速庞各庄桥西1500米，团结路北（庞各庄镇宏轩饺子馆儿对面）,4室,266.0,750.0,38000
远洋五里春秋,石景山,石景山其它,五里坨黑石头路前行500m,3室,290.0,650.0,52024
绿城西府海棠,石景山,石景山其它,隆恩寺路北人大附石景山分校西侧,,90.0,415.0,52024
和锦薇棠,朝阳,常营,黄渠东路与朝阳北路辅路交汇处,3室,290.0,1997.0,68921
首创·河著,顺义,顺义其它,京承高速11出口（昌金路）向东900 米路北,4室,248.0,1200.0,53000
