class_name,teacher,school_name,student_num
基于数据驱动的网络技术应用,姜泽勋 焦立博 董加卿 ,清华大学,241
教AI审合同——人工智能技术在法律领域的应用,张天扬 ,清华大学,238
知识疫图——AI+大数据在新冠肺炎知识智能服务中的应用,张鹏 ,智谱·AI,237
AI for Academic Search （人工智能助力学术搜索）,唐杰 周园春 李涓子 刘筱敏  刘雪峰 杜一 张鹏 ,清华大学,230
基于神经网络建模的信息传播预测,杨成 ,清华大学,224
新冠疫情地图可视化的技术实践,殷达 ,清华大学,223
计算机网络技术,巩向锋 王亚晨 张楚文 万颖 郭润 张一铭 江逸敏 林耘森箫 王子逸 ,旷视科技有限公司,216
机器阅读理解：算法与实践,朱晨光 ,微软,211
金融科技与量化分析,孟康健 刘英斐 汪浩 宋战江 ,学堂在线,207
用户导向的音视频体验优化,马茗 ,清华大学,206
法律智能,钟皓曦 ,清华大学,206
深度学习框架的移动端优化,曾平 杨滔 ,旷视科技有限公司,202
算法训练营,邓俊辉 ,清华大学,202
基于图神经网络的事实验证,周界 ,清华大学,201
面向移动与边缘设备的人工智能系统,徐梦炜 ,北京大学,197
程序设计,李自力 ,西南财经大学,190
Software Engineering,张爽 ,东北大学,187
C Programming,丁海燕 胡盛 ,云南大学,186
人工智能基础核心技术之事件检测,仝美涵 ,清华大学,183
知识图谱推理问答综述,史佳欣 ,清华大学,180
争相步入「情感计算」时代，你上车了吗？,陶建华 贾珈 金琴 宋睿华 ,中国科学院,178
对话系统：过去、现在和未来,黄民烈 ,清华大学,175
解密旷视抗疫情AI体温产品——明骥,胡晨 ,清华大学,173
面向对象分析与设计,张涛 ,西北工业大学,169
Computer Networks,王昊翔 ,华南理工大学,168
Web前端开发,何杰惠 孙瑜 苟彦昉 ,陕西国防工业职业技术学院,167
融合知识的预训练语言模型,张正彦 ,清华大学,165
HTML5 Mobile Front-end Development Foundation,刘小华 曾建华 ,深圳职业技术学院,158
滴滴语音技术,滴滴-科技生态与发展部 ,滴滴,156
复杂场景下的机器阅读理解,林衍凯 ,清华大学,155
商汤泰坦公开课模型量化专题,余锋伟 龚睿昊 ,商汤科技,153
Introduction to C++: Problem Solving Using Computational Thinking,赵宏 郭蕴 路明晓 李妍 王刚 郭天勇 于刚 康介恢 ,南开大学,153
时空大数据分析和挖掘实战,袁海涛 ,清华大学,150
初探图神经网络在分子成药性估计中的应用,裘捷中 ,清华大学,145
计算机图形学,孙劲光 ,辽宁工程技术大学,144
Computer Fundamentals: Problem Solving Using Computational Think,李敏 高裴裴 郭蕴 蔡庆琼 宋丽培 ,南开大学,144
从入门到大神：疫情知识智能服务核心技术实践,张鹏 曾奥涵 叶子逸 殷达 杜冀中 ,智谱·AI,144
数据结构与算法,黄晓鸣 ,北京交通大学,143
网络测量与管理,周禹 郑智隆 王海博 ,清华大学,141
“数据赋能”推动产业转型升级,王建民 刘江川 顾维玺 田春华 王轶捷 ,清华大学,136
大规模在线教育中的知识智能,于济凡 ,清华大学,133
非易失内存在分布式存储领域的应用,张凯 ,清华大学,131
联邦智能和基于隐私保护的分布式机器学习,蔡超超 王昊昱 ,数牍科技,127
表示学习的利与弊,赵晗 ,伊利诺伊大学香槟分校,119
