name	location_district	location_place	location_detail	room_type	room_area	total_price	average_price
中海寰宇时代	大兴	瀛海	8号线地铁瀛海站南200米	2室	49	"300.0000	"	55128
合景·领汇长安	门头沟	滨河西区	北京市门头沟区S1号线桥户营站西300米	3室	78	"390.0000	"	50000
大苑·海淀府	海淀	田村	西四环外2000米，田村路北大苑·海淀府	3室	170	"2000.0000	"	110000
禹洲朗廷湾	通州	通州其它	朝阳北路和通顺路交汇处	3室	80	"430.0000	"	52508
金茂北京国际社区	顺义	顺义其它	水色西路西侧	1室	50	"200.0000	"	36903
住总如院	大兴	大兴新机场洋房别墅区	采育镇采华路南端	2室	98	"314.0000	"	31136
北科建翡翠华庭	怀柔	怀柔	京密路辅路与怀杨路交叉口东侧100米	2室	88	"259.0000	"	29438
东方蓝海中心	昌平	北七家	未来科技城南区内科技城路与南区一路交界处（17号线未来科学城南站100米）			"500.0000	"	60000
寰球CLUB	通州	通州其它	西集镇京哈高速郎府出口南侧300米	2室	89	"311.0000	"	35000
建邦·顺颐府	顺义	后沙峪	空港B区裕民大街30号	3室	270	"1279.0000	"	55583
和悦春风	大兴	大兴新机场	庞各庄镇瓜乡路与永兴河交汇处	2室	76	"240.0000	"	35000
阳光城溪山悦	密云	密云其它	密溪路33号	2室	80	"160.0000	"	22000
融创公园壹号	大兴	南中轴机场商务区	孙村公园西侧	2室	73	"270.0000	"	40000
招商·臻珑府	亦庄开发区	通州其它	亦庄经济技术开发区经海七路与科创十街交汇处	2室	57	"273.0000	"	47000
融创亦庄壹号	亦庄开发区	通州其它	通惠干渠路与科创九街交汇处西南口（地铁亦庄线次渠南站北行900米）	2室	74	"350.0000	"	52695
长安九里	石景山	石景山其它	古城南街东侧	2室	86	"602.0000	"	70000
富力首开·金禧璞瑅	顺义	顺义其它	高泗路四村段23号	4室	140	"620.0000	"	47000
富力首开·金禧璞瑅	顺义	顺义其它	高泗路四村段23号	5室	360	"1150.0000	"	36000
熙悦天寰	丰台	丰台其它	鑫博西路与大灰厂东路交口西行20米	3室	89	"500.0000	"	58000
金融街武夷·融御	通州	武夷花园	通胡大街与东六环西侧路交汇处东南角	2室	50	"430.0000	"	62000
中骏云景台	房山	房山其它	官道北21号	2室	75	"200.0000	"	28000
北京金茂府二期	丰台	宋家庄	宋家庄地铁站F口旁	2室	75	"760.0000	"	103000
禧瑞金海	平谷	平谷其它	平蓟路与环镇东路交汇	2室	87	"170.0000	"	22000
禧瑞金海	平谷	平谷其它	平蓟路与环镇东路交汇	2室	125	"285.0000	"	22000
中国铁建·山语澜廷	房山	房山其它	阎吕路中国铁建·山语澜廷	4室	223	"616.0000	"	30000
京澜誉府	通州	万达	玉带河大街乙72号	3室	99	"594.0000	"	60000
电建·洺悦湾	大兴	旧宫	旧宫北路旧宫地铁站东侧300米	2室	75	"432.0000	"	54715
中建国望府	丰台	丰台其它	射击场路中建国望府	5室	314	"1998.0000	"	63630
阳光上东	朝阳	酒仙桥	东四环北路6号	3室	189	"1650.0000	"	83000
北科建·翡翠华府	怀柔	怀柔	中高路与乐园大街交汇处（雁栖河生态廊道旁）	3室	95	"385.0000	"	40567
保利绿城·和锦诚园	大兴	瀛海	8号线南段地铁站东1.6公里	3室	111	"660.0000	"	62000
金悦郡	通州	通州其它	亦庄新城环景西一路与景盛南二街交叉口珠江逸景家园南区西侧	2室	72	"280.0000	"	36000
北京恒大上河院	密云	密云其它	科技路东侧	2室	79	"201.4500	"	25500
